Date,Open,High,Low,Close,Adj Close,Volume
2017-12-15,0.301900,0.303200,0.298800,0.301900,0.301900,3789
2017-12-17,null,null,null,null,null,null
2017-12-18,0.303450,0.304600,0.302700,0.303450,0.303450,1588
2017-12-19,0.302850,0.304250,0.302100,0.302850,0.302850,2247
2017-12-20,0.304000,0.304500,0.302700,0.304000,0.304000,1482
2017-12-21,0.302100,0.303950,0.301400,0.302100,0.302100,3067
2017-12-22,0.300050,0.302400,0.298500,0.300050,0.300050,3226
2017-12-24,null,null,null,null,null,null
2017-12-26,0.301300,0.302900,0.300000,0.301300,0.301300,8145
2017-12-27,0.302050,0.303550,0.300600,0.302050,0.302050,9606
2017-12-28,0.302300,0.303500,0.301750,0.302300,0.302300,1869
2017-12-29,0.302300,0.303500,0.301750,0.302300,0.302300,278
2017-12-31,null,null,null,null,null,null
2018-01-02,0.305800,0.305950,0.301850,0.305800,0.305800,239
2018-01-03,0.307700,0.309550,0.305200,0.307700,0.307700,3069
2018-01-04,0.308900,0.309500,0.307500,0.308900,0.308900,4173
2018-01-05,0.308650,0.309850,0.307050,0.308650,0.308650,3246
2018-01-07,null,null,null,null,null,null
2018-01-08,0.308550,0.309450,0.307400,0.308550,0.308550,2305
2018-01-09,0.306850,0.308700,0.306400,0.306850,0.306850,3094
2018-01-10,0.308500,0.309200,0.306400,0.308500,0.308500,1583
2018-01-11,0.309600,0.310800,0.308250,0.309600,0.309600,1305
2018-01-12,0.310850,0.311950,0.309100,0.310850,0.310850,1767
2018-01-14,null,null,null,null,null,null
2018-01-16,0.309150,0.313550,0.308400,0.309150,0.309150,1570
2018-01-17,0.310300,0.310700,0.308250,0.310300,0.310300,1867
2018-01-18,0.311000,0.311700,0.309600,0.311000,0.311000,2561
2018-01-19,0.311850,0.313000,0.310650,0.311850,0.311850,1559
2018-01-21,null,null,null,null,null,null
2018-01-22,0.311700,0.313600,0.311050,0.311700,0.311700,1301
2018-01-23,0.308350,0.311600,0.307900,0.308350,0.308350,1103
2018-01-24,0.314050,0.319000,0.307350,0.314050,0.314050,2046
2018-01-25,0.319250,0.321150,0.316900,0.319250,0.319250,5992
2018-01-26,0.317400,0.320200,0.316750,0.317400,0.317400,1564
2018-01-28,null,null,null,null,null,null
2018-01-29,0.315450,0.317800,0.315200,0.315450,0.315450,13479
2018-01-30,0.314350,0.317100,0.312600,0.314350,0.314350,7878
2018-01-31,0.316200,0.317300,0.314200,0.316200,0.316200,2829
2018-02-01,0.314200,0.315250,0.311950,0.314200,0.314200,3326
2018-02-02,0.310000,0.314200,0.308650,0.310000,0.310000,2252
2018-02-04,null,null,null,null,null,null
2018-02-05,0.307450,0.309700,0.304600,0.307450,0.307450,5691
2018-02-06,0.307650,0.309450,0.304200,0.307650,0.307650,5794
2018-02-07,0.304850,0.308000,0.303750,0.304850,0.304850,6244
2018-02-08,0.302750,0.306250,0.302100,0.302750,0.302750,5807
2018-02-09,0.301250,0.305250,0.300650,0.301250,0.301250,4440
2018-02-11,null,null,null,null,null,null
2018-02-12,0.303650,0.304300,0.302600,0.303650,0.303650,5781
2018-02-13,0.302400,0.303700,0.301650,0.302400,0.302400,1268
2018-02-14,0.307550,0.310850,0.301150,0.307550,0.307550,271
2018-02-15,0.308300,0.311950,0.308000,0.308300,0.308300,10503
2018-02-16,0.310900,0.311700,0.307450,0.310900,0.310900,3670
2018-02-18,null,null,null,null,null,null
2018-02-20,0.307300,0.309450,0.306250,0.307300,0.307300,4175
2018-02-21,0.307050,0.307950,0.305300,0.307050,0.307050,4916
2018-02-22,0.307750,0.308100,0.304550,0.307750,0.307750,2316
2018-02-23,0.308400,0.309100,0.306300,0.308400,0.308400,4533
2018-02-25,null,null,null,null,null,null
2018-02-26,0.308700,0.310150,0.308000,0.308700,0.308700,2708
2018-02-27,0.308100,0.311200,0.307100,0.308100,0.308100,21342
2018-02-28,0.308200,0.309700,0.307000,0.308200,0.308200,1747
2018-03-01,0.305050,0.307700,0.304750,0.305050,0.305050,4186
2018-03-02,0.306400,0.306900,0.305000,0.306400,0.306400,3785
2018-03-04,null,null,null,null,null,null
2018-03-05,0.307100,0.307650,0.305700,0.307100,0.307100,1727
2018-03-06,0.310600,0.311250,0.307150,0.310600,0.310600,914
2018-03-07,0.307750,0.310800,0.307250,0.307750,0.307750,1715
2018-03-08,0.306000,0.307900,0.305300,0.306000,0.306000,2000
2018-03-09,0.307000,0.308050,0.305150,0.307000,0.307000,2212
2018-03-11,null,null,null,null,null,null
2018-03-12,0.306400,0.308650,0.305650,0.306400,0.306400,1731
2018-03-13,0.306550,0.308350,0.305550,0.306550,0.306550,1321
2018-03-14,0.306400,0.307650,0.305850,0.306400,0.306400,1895
2018-03-15,0.303600,0.306350,0.303050,0.303600,0.303600,2776
2018-03-16,0.304650,0.305200,0.302200,0.304650,0.304650,2990
2018-03-18,null,null,null,null,null,null
2018-03-19,0.304200,0.304300,0.302900,0.304200,0.304200,1563
2018-03-20,0.302300,0.304600,0.301750,0.302300,0.302300,1755
2018-03-21,0.304950,0.306050,0.300700,0.304950,0.304950,2385
2018-03-22,0.302600,0.305500,0.301600,0.302600,0.302600,5323
2018-03-23,0.302050,0.303450,0.300200,0.302050,0.302050,3078
2018-03-25,null,null,null,null,null,null
2018-03-26,0.302750,0.303600,0.301900,0.302750,0.302750,3377
