btcopening,btcclosing,btcquantity,btcamount,daxopening,daxclosing,daxlowest,daxhighest,djiopening,djiclosing,djilowest,djihighest,hsiopening,hsiclosing,hsilowest,hsihighest,year,month,day,target
1815.0,1830.0,178.10130383,634.0,22.264848527023428,22.462360382080078,22.264848527023428,22.462360382080078,17749.099609375,17749.099609375,17749.099609375,17749.099609375,21701.19921875,21701.19921875,21701.19921875,21701.19921875,2015,12,16,0
1849.99997,1879.99988,140.73867841,527.0,22.59702685562981,22.417470932006836,22.417470932006836,22.59702685562981,17495.80078125,17495.80078125,17495.80078125,17495.80078125,21872.099609375,21872.099609375,21872.099609375,21872.099609375,2015,12,17,0
1842.50024,1894.0,90.10683098,423.0,22.184051513671875,22.184051513671875,22.184051513671875,22.184051513671875,17128.599609375,17128.599609375,17128.599609375,17128.599609375,21755.599609375,21755.599609375,21755.599609375,21755.599609375,2015,12,18,0
1770.0,1860.0,111.70302362,517.0,22.228941630115003,22.17507553100586,22.17507553100586,22.601517908147482,17251.599609375,17251.599609375,17251.599609375,17251.599609375,21791.69921875,21791.69921875,21791.69921875,21791.69921875,2015,12,21,0
1847.0,1866.0,70.33654677,406.0,22.314226363797843,22.30076026916504,22.273826367527278,22.314226363797843,17417.30078125,17417.30078125,17417.30078125,17417.30078125,21830.0,21830.0,21830.0,21830.0,2015,12,22,0
1866.0,1872.46988,106.06578918,462.0,22.651109139149373,22.696142196655273,22.570051353474245,22.696142196655277,17602.599609375,17602.599609375,17602.599609375,17602.599609375,22040.599609375,22040.599609375,22040.599609375,22040.599609375,2015,12,23,0
1870.0,1853.80002,33.43620825,175.0,22.63309815370511,22.669124603271484,22.62409325914918,22.687137828054674,17552.19921875,17552.19921875,17552.19921875,17552.19921875,0.11500000208616257,0.11500000208616257,0.11500000208616257,0.11500000208616257,2015,12,24,1
1778.9,1744.99999,61.42549658,248.0,22.534028630287697,22.687137603759766,22.534028630287697,22.687137603759762,17528.30078125,17528.30078125,17528.30078125,17528.30078125,0.11500000208616257,0.11500000208616257,0.11500000208616257,0.11500000208616257,2015,12,28,1
1723.10001,1780.0,103.85401241,315.0,22.876271790418855,22.99966049194336,22.876271790418855,22.99966049194336,17721.0,17721.0,17721.0,17721.0,0.15000000596046448,0.15000000596046448,0.15000000596046448,0.15000000596046448,2015,12,29,0
1780.0,1826.9974,55.39590446,315.0,22.90329076702117,22.579059600830078,22.579059600830078,22.90329076702117,17603.900390625,17603.900390625,17603.900390625,17603.900390625,21882.19921875,21882.19921875,21882.19921875,21882.19921875,2015,12,30,0
1826.99954,1820.97692,45.43287782,193.0,22.5340306637962,22.416946411132812,22.263837423843935,22.5340306637962,17425.0,17425.0,17425.0,17425.0,21914.400390625,21914.400390625,21914.400390625,21914.400390625,2015,12,31,1
1779.0,1800.18003,132.92499194,446.0,22.00265138612083,21.606369018554688,21.420837607836933,22.00265138612083,17148.900390625,17148.900390625,17148.900390625,17148.900390625,21327.099609375,21327.099609375,21327.099609375,21327.099609375,2016,1,4,0
1817.0,1825.0,81.09890205,417.0,21.588353921936573,21.48027801513672,21.336175660846536,21.588353921936573,17158.69921875,17158.69921875,17158.69921875,17158.69921875,21188.69921875,21188.69921875,21188.69921875,21188.69921875,2016,1,5,0
1825.0,1812.02011,46.52289746,251.0,21.147040015987994,21.237104415893555,21.093002063178876,21.283037620590857,16906.5,16906.5,16906.5,16906.5,20980.80078125,20980.80078125,20980.80078125,20980.80078125,2016,1,6,1
1820.0,1940.50001,206.665706,643.0,20.993932880395043,20.858837127685547,20.85883712768555,21.070488228226367,16514.099609375,16514.099609375,16514.099609375,16514.099609375,20333.30078125,20333.30078125,20333.30078125,20333.30078125,2016,1,7,0
1949.98966,1881.0,121.10639069,481.0,20.93989220404107,20.660694122314453,20.64268089953584,20.93989220404107,16346.5,16346.5,16346.5,16346.5,20453.69921875,20453.69921875,20453.69921875,20453.69921875,2016,1,8,1
1914.96577,1911.97,83.92943231,366.0,20.885853779820085,20.82280921936035,20.6841094685135,20.96510955327869,16398.599609375,16398.599609375,16398.599609375,16398.599609375,19888.5,19888.5,19888.5,19888.5,2016,1,11,1
